scenario,run,train_success_rate,eval_success_rate,eval_avg_steps,eval_avg_reward,final_exploration,memory_size,avg_loss,duration_minutes
static,1,25.0,86.0,11.23,-3.17,0.08157186144027828,4076,5.310778794884682,0.3988617459932963
static,2,25.0,86.0,11.23,-3.17,0.08157186144027828,4076,5.310778794884682,0.35548797448476155
static,3,25.0,86.0,11.23,-3.17,0.08157186144027828,4076,5.310778794884682,0.3533920208613078
random_start,1,69.6,100.0,4.3,6.7,0.08157186144027828,2761,3.688914611339569,0.23382017215092976
random_start,2,69.6,100.0,4.3,6.7,0.08157186144027828,2761,3.688914611339569,0.17171448071797688
random_start,3,69.6,100.0,4.3,6.7,0.08157186144027828,2761,3.688914611339569,0.14171713193257648
random_goal,1,19.6,24.0,8.76,-13.72,0.08157186144027828,4963,9.295778009295464,0.28777432441711426
random_goal,2,19.6,24.0,8.76,-13.72,0.08157186144027828,4963,9.295778009295464,0.2876906911532084
random_goal,3,19.6,24.0,8.76,-13.72,0.08157186144027828,4963,9.295778009295464,0.28932770490646365
random_obstacles,1,17.599999999999998,32.0,5.02,-8.3,0.08157186144027828,3739,8.854366450309753,0.21168814102808634
random_obstacles,2,17.599999999999998,32.0,5.02,-8.3,0.08157186144027828,3739,8.854366450309753,0.2169897754987081
random_obstacles,3,17.599999999999998,32.0,5.02,-8.3,0.08157186144027828,3739,8.854366450309753,0.21240711609522503
container,1,2.0,0.0,6.05,-15.01,0.08157186144027828,3110,4.299143851697445,0.17804559866587322
container,2,2.0,0.0,6.05,-15.01,0.08157186144027828,3110,4.299143851697445,0.18600366512934366
container,3,2.0,0.0,6.05,-15.01,0.08157186144027828,3110,4.299143851697445,0.18684103091557822
