scenario,run,train_success_rate,eval_success_rate,eval_avg_steps,eval_avg_reward,final_exploration,memory_size,avg_loss,duration_minutes
static,1,25.0,86.0,11.23,-3.17,0.08157186144027828,4076,5.310778794884682,0.27175196806589763
static,2,25.0,86.0,11.23,-3.17,0.08157186144027828,4076,5.310778794884682,0.24937223593393962
static,3,25.0,86.0,11.23,-3.17,0.08157186144027828,4076,5.310778794884682,0.2723258097966512
random_start,1,69.6,100.0,4.3,6.7,0.08157186144027828,2761,3.688914611339569,0.1642522891362508
random_start,2,69.6,100.0,4.3,6.7,0.08157186144027828,2761,3.688914611339569,0.16065009832382202
random_start,3,69.6,100.0,4.3,6.7,0.08157186144027828,2761,3.688914611339569,0.15179453293482462
random_goal,1,19.6,24.0,8.76,-13.72,0.08157186144027828,4963,9.295778009295464,0.29815949201583863
random_goal,2,19.6,24.0,8.76,-13.72,0.08157186144027828,4963,9.295778009295464,0.28737481037775675
random_goal,3,19.6,24.0,8.76,-13.72,0.08157186144027828,4963,9.295778009295464,0.29514127572377524
random_obstacles,1,17.599999999999998,32.0,5.02,-8.3,0.08157186144027828,3739,8.854366450309753,0.21785558064778646
random_obstacles,2,17.599999999999998,32.0,5.02,-8.3,0.08157186144027828,3739,8.854366450309753,0.2118122895558675
random_obstacles,3,17.599999999999998,32.0,5.02,-8.3,0.08157186144027828,3739,8.854366450309753,0.21360547542572023
container,1,2.0,0.0,6.05,-15.01,0.08157186144027828,3110,4.299143851697445,0.17729341983795166
container,2,2.0,0.0,6.05,-15.01,0.08157186144027828,3110,4.299143851697445,0.17615573008855184
container,3,2.0,0.0,6.05,-15.01,0.08157186144027828,3110,4.299143851697445,0.17617281277974448
